,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,Denmark,Europe,1,7.545999967193604,1.396728602554322,1.4476883185043339,0.8652491049156188,0.6259593444900512,0.3638760977458954,0.38437401363372803
1,Norway,Europe,2,7.541000035858152,1.519380636871338,1.431074711914062,0.8733333005905152,0.6380485174789428,0.32836044746208204,0.344580766904831
2,Finland,Europe,3,7.537799972534181,1.356960385032654,1.4344293450164798,0.8738355339088442,0.6215361713371277,0.28484855451774604,0.331408308588028
3,Switzerland,Europe,4,7.511399991607666,1.472163910644532,1.417332349014282,0.9283182578964233,0.6206421153335573,0.3282718556518554,0.32892345707130444
4,Iceland,Europe,5,7.511000037384034,1.3865226040802,1.4928128014068602,0.9177444244232179,0.6180345270652771,0.2947480441474914,0.26452131189441674
5,Netherlands,Europe,6,7.4045999710083,1.4110129270782479,1.349645844657898,0.8785692250061036,0.5896508976211547,0.3485799659557342,0.36518436508369445
6,Canada,America,7,7.350599996948242,1.388128883255004,1.3874117982788081,0.90055753049469,0.6109541824188232,0.3368799444885254,0.35856430324554445
7,Sweden,Europe,8,7.319199983978272,1.403981453804016,1.3685744338912962,0.8989910316619873,0.6175808197937013,0.356901850435257,0.37711174572181705
8,New Zealand,Oceania,9,7.313000025939942,1.3175092096023557,1.439729024734498,0.8916179411087036,0.6177824260902404,0.40865302519989016,0.4241673404254914
9,Australia,Oceania,10,7.276199983978271,1.3948849870224,1.4090063904266361,0.9145293585319522,0.6050434764595031,0.37007584999656684,0.3605747460727692
10,Israel,Africa,11,7.142199964141845,1.303722484680176,1.3219179927444462,0.90268879996109,0.41749972076606756,0.22204253099060062,0.21876842001199726
11,Austria,Europe,12,7.142000008392334,1.398341452667236,1.36396299269104,0.8836796838417055,0.576929237915039,0.24054246434974683,0.2661180730876922
12,Costa Rica,America,13,7.126199999237061,1.0356552565231318,1.3151607302474981,0.8322478530845642,0.5912283299942016,0.1425826458072662,0.1549213178992272
13,United States,America,14,6.998800006103517,1.4559458568038939,1.3285701127395622,0.8216153255538939,0.5068821046676637,0.2542317561302186,0.2416917576684952
14,Ireland,Europe,15,6.964400047302246,1.4604153278579723,1.4450562230682382,0.878932524848938,0.5721920684051514,0.323485664571762,0.36460563066291807
15,Luxembourg,Europe,16,6.935999983215332,1.6376747195587158,1.343240733169556,0.9034898990364073,0.5838315782127379,0.2808901963748932,0.302376884803772
16,Germany,Europe,17,6.92900004272461,1.395342676742554,1.359526070281982,0.8707361463508606,0.5585882768974304,0.27484183400917067,0.2816783876247406
17,Belgium,Europe,18,6.92139995880127,1.3753981521530159,1.3574925396728517,0.8828703738708497,0.5387621444778443,0.21347666752433775,0.2332486262130738
18,United Kingdom,Europe,19,6.910000045013428,1.337566787948608,1.367932016029358,0.8817351877861022,0.5037600071640014,0.33948683174324035,0.32922161325073246
19,Oman,Africa,20,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21542
20,United Arab Emirates,Africa,21,6.744199952697754,1.64522667389679,1.069860046318054,0.7521956472740173,0.5388130540313719,0.3100763893013,0.0
21,Mexico,America,22,6.725200013732911,1.079360763572692,1.0829944319458,0.7715697995414732,0.4367260016727448,0.13213208655977243,0.11177282292175299
22,Brazil,America,23,6.6578000457763675,1.033226642089844,1.323311200904846,0.6809444705810546,0.4430387493591308,0.137643978928566,0.11771855223178859
23,Czech Republic,Europe,24,6.654600041198731,1.2685624704132081,1.32484904334259,0.8274068006210328,0.4737532347335816,0.05289735177850724,0.06260458541989326
24,Chile,America,25,6.5893999900817875,1.1733269219589242,1.202872990768432,0.8449759407806395,0.396821055738449,0.19077248424530024,0.16977359642124176
25,Singapore,Asia,26,6.542800005340576,1.592137533981324,1.2310788726959219,1.0141864789848327,0.553412113899231,0.3679871962966918,0.402483557006836
26,Panama,America,27,6.53800002822876,1.148267687194824,1.2881625097503662,0.7760232269210816,0.5388793668022156,0.124297387848854,0.1348247847943306
27,Malta,Europe,28,6.533999990081789,1.2856999677124021,1.386846332992554,0.8790608473510743,0.5902714103393554,0.3274261150169372,0.3051912137775422
28,France,Europe,29,6.515199982452392,1.3441166923828118,1.3182473703308102,0.9162411703567503,0.4883904231033326,0.14466046136188498,0.15528448565864558
29,Argentina,America,30,6.4593999954223635,1.1110350925216683,1.330960229034424,0.7608954167060852,0.4816198407802582,0.079051412138939,0.0776279775428772
30,Uruguay,America,31,6.4311999992370605,1.135557939048768,1.315311573806762,0.7829293647155762,0.574978450870514,0.1783233858146668,0.17920437454414362
31,Qatar,Africa,32,6.4218,1.743691137207032,1.1697073759536738,0.7687316175575256,0.6040641966705322,0.3618087740077972,0.28538185112190245
32,Taiwan,Asia,33,6.391,1.3553175000000002,1.2171025,0.8604875,0.3725425,0.1351475,0.17092749999999998
33,Saudi Arabia,Africa,34,6.37599997253418,1.439512711036682,1.1813795197906498,0.6662136659469604,0.4174541144886016,0.19018720277690881,0.164812450958252
34,Spain,Europe,35,6.351399975585938,1.298807572868348,1.3994661804656983,0.9501081199798584,0.4109482460899354,0.12209671432495121,0.1165668194260597
35,Guatemala,America,36,6.34379999923706,0.8066143891944886,1.141467038726806,0.6157759979515076,0.5502861235847474,0.163843678565979,0.1578386557164192
36,Colombia,America,37,6.339999974822997,0.9929104649887079,1.30261058733368,0.6716775847167968,0.49209948301506046,0.09044089459228519,0.09198774837040902
37,Thailand,Asia,38,6.28659995727539,1.050013754310608,1.3123204911346438,0.7139778058815002,0.5652741463508606,0.2710646220588684,0.25037454704833034
38,Suriname,America,39,6.269,1.0461,0.8753299999999999,0.558765,0.5594549999999999,0.131625,0.16827999999999999
