Year,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Result,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,Switzerland,Europe,1,7.5870000000000015,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004,Denmark,Europe,1,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453,0.36171,Norway,Europe,1,7.537000179290769,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,0.31596383452415505,Finland,Europe,1,7.6320000000000014,1.305,1.592,0.8740000000000001,0.6809999999999999,0.202,0.393,Finland,Europe,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393
1,Iceland,Europe,2,7.561,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,Switzerland,Europe,2,7.508999999999999,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,Denmark,Europe,2,7.52199983596802,1.48238301277161,1.55112159252167,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816864,Norway,Europe,2,7.5939999999999985,1.456,1.582,0.861,0.6859999999999999,0.28600000000000003,0.34,Denmark,Europe,2,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41
2,Denmark,Europe,3,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,Iceland,Europe,3,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678,Iceland,Europe,3,7.50400018692017,1.480633020401,1.6105740070343,0.8335521221160892,0.6271626353263849,0.475540220737457,0.15352655947208402,Denmark,Europe,3,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,Norway,Europe,3,7.5539999999999985,1.4880000000000002,1.582,1.028,0.603,0.271,0.341
3,Norway,Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,Norway,Europe,4,7.497999999999998,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,Switzerland,Europe,4,7.49399995803833,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.29054927825927696,0.3670072853565221,Iceland,Europe,4,7.495,1.3430000000000002,1.644,0.914,0.677,0.353,0.138,Iceland,Europe,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118
4,Canada,America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,Finland,Europe,5,7.4129999999999985,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,Finland,Europe,5,7.468999862670901,1.44357192516327,1.5402467250824,0.80915766954422,0.6179508566856379,0.24548277258873,0.38261154294014,Switzerland,Europe,5,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,Netherlands,Europe,5,7.487999999999999,1.396,1.5219999999999998,0.999,0.557,0.322,0.298
5,Finland,Europe,6,7.4060000000000015,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,Canada,America,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,Netherlands,Europe,6,7.3769998550415,1.50394463539124,1.42893922328949,0.8106961250305179,0.5853844881057739,0.470489829778671,0.282661825418472,Netherlands,Europe,6,7.441,1.361,1.4880000000000002,0.878,0.638,0.333,0.295,Switzerland,Europe,6,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.343
6,Netherlands,Europe,7,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,Netherlands,Europe,7,7.338999999999999,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,Canada,America,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,Canada,America,7,7.3279999999999985,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,0.29100000000000004,Sweden,Europe,7,7.343,1.3869999999999998,1.487,1.009,0.574,0.267,0.373
7,Sweden,Europe,8,7.364,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262,New Zealand,Oceania,8,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.41904,0.4940100000000001,New Zealand,Oceania,8,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.6140621304512021,0.500005125999451,0.38281670212745705,New Zealand,Oceania,8,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,New Zealand,Oceania,8,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38
