Country,CPI Score
Afghanistan,13.017093
Albania,34.452946
Algeria,33.704377
Angola,20.005035
Argentina,35.396074
Armenia,33.928996
Australia,81.044156
Austria,74.586903
Azerbaijan,27.675234999999997
Bahamas,68.2368175
Bahrain,45.609879
Bangladesh,25.956912
Barbados,71.08211333333333
Belarus,34.518322999999995
Belgium,75.087431
Benin,36.169850000000004
Bhutan,63.842363999999996
Bolivia,31.863231000000003
Bosnia and Herzegovina,37.607211
Botswana,61.677882
Brazil,38.77411
Brunei,58.134246250000004
Bulgaria,40.428966
Burkina Faso,37.846324
Burundi,19.635236
Cabo Verde,56.666666666666664
Cambodia,20.810559
Cameroon,25.252247
Canada,82.67245700000001
Cape Verde,56.463631428571425
Central African Republic,23.610424000000002
Chad,19.840463
Chile,69.71385599999999
China,38.435573
Colombia,36.246674
Comoros,25.610707
Congo (Brazzaville),19.666666666666668
Costa Rica,54.598095
Croatia,46.734245
Cuba,45.463938999999996
Cyprus,60.765643999999995
Czech Republic,52.068084
Côte d'Ivoire,30.433704
Congo (Kinshasa),20.721066999999998
Denmark,90.39207999999999
Djibouti,32.38107
Dominica,56.193955555555554
Dominican Republic,29.989769000000003
Ecuador,31.850216
Egypt,33.262187
El Salvador,36.224892
Equatorial Guinea,18.017395714285716
Eritrea,21.675597
Estonia,68.753611
Eswatini,34.0
Ethiopia,32.590912
FYR Macedonia,40.213330000000006
Finland,88.903927
France,69.905064
Gabon,32.683002
Gambia,31.611905999999998
Georgia,51.132969
Germany,79.84614400000001
Ghana,43.050760000000004
Greece,41.888967
Grenada,53.25
Guatemala,29.027780999999997
Guinea,25.010293
Guinea-Bissau,19.001865000000002
Guyana,31.487626999999996
Haiti,19.399883
Honduras,27.791903
Hong Kong,77.489815
Hungary,48.955448000000004
Iceland,79.474027
India,37.399086999999994
Indonesia,34.42781
Iran,26.920371
Iraq,17.204128
Ireland,73.93603900000001
Israel,60.80688
Italy,45.206913
Jamaica,39.141237000000004
Japan,74.8409
Jordan,47.985752000000005
Kazakhstan,29.193975000000002
Kenya,25.643489999999996
Kiribati,31.400370000000002
Kosovo,33.751413
Kuwait,43.216031
Kyrgyzstan,26.019878
Laos,25.713967000000004
Latvia,52.6943
Lebanon,27.486843999999998
Lesotho,41.916105
Liberia,34.588795
Libya,17.81449
Lithuania,56.251965
Luxembourg,82.10703
Macau,50.554365000000004
Macedonia,39.75
Madagascar,27.140804000000003
Malawi,32.702285
Malaysia,48.407416
Maldives,29.451303333333332
Mali,30.758700999999995
Malta,55.892464
Mauritania,27.927348000000002
Mauritius,52.767148
Mexico,31.070855
Moldova,32.278946
Mongolia,35.19634666666666
Montenegro,42.869978
Morocco,37.843408
Mozambique,27.787721999999995
Myanmar,22.390296
Namibia,49.42965
Nepal,28.311226999999995
Netherlands,83.994497
New Zealand,90.362681
Nicaragua,26.129545999999998
Niger,32.140459
Nigeria,26.149335999999998
North Korea,11.34402888888889
North Macedonia,35.0
Norway,85.889854
Oman,47.834576
Pakistan,29.067952000000002
Panama,36.566199
Papua New Guinea,25.565489
Paraguay,26.017671
Peru,36.185607
Philippines,33.244299
Poland,58.98241800000001
Portugal,62.397609
Puerto Rico,60.373298
Qatar,67.255269
Republic of the Congo,22.363338571428567
Romania,43.612146
Russia,27.148757
Rwanda,51.683419
Saint Lucia,63.5227425
Saint Vincent and the Grenadines,59.8264475
Samoa,39.896085
Sao Tome & Principe,41.186329
Saudi Arabia,47.886654
Senegal,40.170529
Serbia,39.112795
Seychelles,56.024122222222225
Sierra Leone,29.260908999999998
Singapore,86.46683900000001
Slovakia,47.771617000000006
Slovenia,60.070487
Solomon Islands,37.01063666666666
Somalia,9.0834057
South Africa,43.380277
South Korea,55.056394
South Sudan,13.142857142857142
Spain,60.0296
Sri Lanka,36.695176000000004
Sudan,14.063758000000002
Suriname,38.69844444444445
Swaziland,36.97396285714286
Sweden,87.998488
Switzerland,85.901674
Syria,18.457818
Taiwan,61.636312
Tajikistan,23.271689000000002
Tanzania,32.650526
Thailand,36.081004
The FYR of Macedonia,41.333333333333336
Timor-Leste,31.376134999999998
Togo,29.082137999999997
Tonga,30.695970000000003
Trinidad and Tobago,37.870273
Tunisia,40.959299
Turkey,43.306861000000005
Turkmenistan,18.103172999999998
Uganda,26.033897000000003
Ukraine,27.196875
United Arab Emirates,68.622888
United Kingdom,78.27508399999999
United States,72.735683
Uruguay,71.34446
Uzbekistan,19.424563
Vanuatu,41.259372
Venezuela,18.289497
Vietnam,31.764383
Yemen,17.980347000000002
Zambia,35.695245
Zimbabwe,21.929767
