Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Birthrate,Deathrate,Agriculture,Industry,Service,Life expectancy,CPI Score,unemployment_percentage,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Afghanistan,31056997,647500,48.0,0.0,23.06,163.07,700.0,36.0,3.2,12.13,0.22,87.65,46.6,20.34,0.38,0.24,0.38,58.19375,13.017093,35.0,Asia,152,3.5127999820709217,0.35711344353485097,0.40975266527557375,0.2547073557691574,0.117923904097557,0.1658361865158082,0.1599875660119057
Albania,3581655,28748,124.6,1.26,-4.93,21.52,4500.0,86.5,71.2,21.09,4.42,74.49,15.11,5.22,0.23199999999999998,0.188,0.579,75.15624999999999,34.452946000000004,14.0,Europe,105,4.712600010681152,0.9386325506629944,0.7549310495796204,0.7876959493293763,0.3718977269630432,0.12909058885860442,0.08199684319996832
Algeria,32930091,2381740,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,17.14,4.61,0.10099999999999999,0.6,0.298,73.61874999999998,33.704377,11.7,Africa,65,5.667600043487548,1.012962893333436,1.0742054930801401,0.6650569291496277,0.17843716158390038,0.10656732939958573,0.1087512220687866
Argentina,39921833,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,16.73,7.55,0.095,0.358,0.547,75.15624999999999,35.396074,8.1,America,30,6.459399995422364,1.1110350925216683,1.3309602290344242,0.7608954167060852,0.4816198407802582,0.079051412138939,0.0776279775428772
Armenia,2976372,29800,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,12.07,8.23,0.239,0.34299999999999997,0.418,73.39999999999998,33.928996000000005,18.9,Europe,121,4.3931999855041495,0.8391333475723265,0.8908727441558841,0.6978508851966858,0.2160286534719468,0.06612961836528779,0.05503088430082799
Australia,20264082,7686850,2.6,0.34,3.98,4.69,29000.0,100.0,565.5,6.55,0.04,93.41,12.14,7.51,0.038,0.262,0.7,81.81250000000001,81.044156,5.6,Oceania,10,7.276199983978271,1.3948849870223998,1.409006390426636,0.9145293585319522,0.6050434764595031,0.3700758499965669,0.3605747460727692
Austria,8192880,83870,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.86,82.23,8.74,9.76,0.018000000000000002,0.304,0.6779999999999999,81.48124999999997,74.586903,5.4,Europe,12,7.142000008392334,1.3983414526672358,1.36396299269104,0.8836796838417055,0.5769292379150389,0.24054246434974685,0.2661180730876922
Azerbaijan,7961619,86600,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,20.74,9.75,0.141,0.457,0.402,70.73124999999997,27.675235,6.0,Europe,85,5.22920004119873,1.0736443531265258,1.03175005104065,0.6196531551818849,0.3805451676502229,0.09021186805534362,0.1346755014209748
Bahrain,698585,665,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,2.82,5.63,91.55,17.8,4.14,0.005,0.387,0.608,75.72500000000002,45.609879,3.8,Africa,43,6.113799978637696,1.390482452201844,1.2434640922470102,0.7252506069412232,0.5190833838310243,0.2468776973667144,0.1670264339141846
Bangladesh,147365352,144000,1023.4,0.4,-0.71,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,29.8,8.27,0.19899999999999998,0.198,0.603,69.3,25.956912,4.1,Asia,112,4.580199960327149,0.5239965950584413,0.6383363481140136,0.5933542067108153,0.4782673318824768,0.14855507042789462,0.16285157187747962
Belarus,10293011,207600,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,29.55,0.6,69.85,11.16,14.02,0.09300000000000001,0.316,0.591,69.90625,34.518322999999995,1.0,Europe,70,5.597999953460693,1.0850195119934078,1.338153043235778,0.6987668533554078,0.30153805237579345,0.14312150182151798,0.1404387643346786
Belgium,10379067,30528,340.0,0.22,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,10.38,10.27,0.01,0.24,0.7490000000000001,80.68124999999998,75.08743100000001,7.5,Europe,18,6.92139995880127,1.375398152153016,1.3574925396728517,0.8828703738708497,0.5387621444778443,0.21347666752433772,0.2332486262130738
Benin,7862944,112620,69.8,0.11,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,38.85,12.22,0.316,0.138,0.546,57.56875,36.16985,1.0,Africa,143,3.9010000129699702,0.3767450815467833,0.3404699687099456,0.2752620422611236,0.4193865551891326,0.13857169223499302,0.11886580305576325
Bhutan,2279723,47000,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.43,96.48,33.65,12.7,0.258,0.379,0.363,66.1625,63.842364,3.2,Asia,96,5.124800031280519,0.8235072777023316,1.201687302886962,0.5397078584976196,0.4984675361251832,0.3048209090328216,0.2953640779619217
Bolivia,8989046,1098580,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19,97.14,23.3,7.53,0.128,0.35200000000000004,0.52,67.70625,31.863231000000006,4.0,America,56,5.813199990844726,0.7672613132095336,1.095163810386658,0.539306049900055,0.5518965853691102,0.13380414494705198,0.12016354523229598
Bosnia and Herzegovina,4498976,51129,88.0,0.04,0.31,21.05,6100.0,0.0,215.4,13.6,2.96,83.44,8.77,8.27,0.142,0.308,0.55,75.96875000000001,37.607211,20.5,Europe,91,5.161800032043457,0.9216938835258484,0.9844331875,0.7613312614860535,0.17679263538074502,0.1620274990119934,0.11059400000000001
Botswana,1639833,600370,2.7,0.0,0.0,54.58,9000.0,79.8,80.5,0.65,0.01,99.34,23.08,29.5,0.024,0.469,0.507,56.05,61.677882,20.0,Africa,149,3.8300000064849864,1.0535808308715822,1.1074109989166259,0.3384071018753052,0.4906072665863038,0.07975568964338302,0.10388863981676102
Brazil,188078227,8511965,22.1,0.09,-0.03,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,16.56,6.17,0.084,0.4,0.516,73.38125,38.77411,13.1,America,23,6.657800045776368,1.033226642089844,1.323311200904846,0.6809444705810546,0.4430387493591308,0.13764397892856603,0.1177185522317886
Bulgaria,7385367,110910,66.6,0.32,-4.58,20.55,7600.0,98.6,336.3,40.02,1.92,58.06,9.65,14.27,0.09300000000000001,0.304,0.603,72.85,40.428965999999996,6.6,Europe,109,4.618600045013428,1.0865358176650999,1.2987878916854858,0.7359535360908509,0.2954583435173034,0.054609538876056594,0.05423830618995428
Burkina Faso,13902972,274200,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,14.43,0.19,85.38,45.62,15.6,0.322,0.196,0.48200000000000004,55.64374999999999,37.846323999999996,77.0,Africa,138,4.07380001296997,0.31465954271698005,0.935740001091004,0.2668128517332078,0.32399957020378123,0.1713029369163514,0.1644656211972236
Cambodia,13881427,181040,76.7,0.24,0.0,71.48,1900.0,69.4,2.6,20.96,0.61,78.43,26.9,9.06,0.35,0.3,0.35,64.34375,20.810559,0.3,Asia,135,4.205400044250489,0.5482370192375183,0.8762196682662959,0.5119726807746888,0.6378711646995544,0.2054625936775208,0.2004171901903153
Cameroon,17340702,475440,36.5,0.08,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,33.89,13.47,0.44799999999999995,0.17,0.382,54.01875,25.252247,4.3,Africa,106,4.695800034332277,0.5191550730171204,0.8520216437988282,0.20137842338085185,0.4371677497291565,0.14508369135761262,0.1128573262832165
Canada,33098932,9984670,3.3,2.02,5.96,4.75,29800.0,97.0,552.2,4.96,0.02,95.02,10.78,7.8,0.022000000000000002,0.294,0.684,81.6875,82.67245700000002,6.5,America,7,7.350599996948242,1.3881288832550043,1.387411798278808,0.9005575304946899,0.6109541824188232,0.3368799444885254,0.35856430324554445
Central African Republic,4303356,622984,6.9,0.0,0.0,91.0,1100.0,51.0,2.3,3.1,0.14,96.76,33.91,18.65,0.55,0.2,0.25,48.51250000000001,23.610424,8.0,Africa,155,3.1342500195503225,0.032125,0.0,0.05019067147508262,0.3224080113863945,0.20419162187337875,0.0919787690281868
Chile,16134219,756950,21.3,0.85,0.0,8.8,9900.0,96.2,213.0,2.65,0.42,96.93,15.23,5.81,0.06,0.493,0.447,79.44999999999997,69.71385599999999,7.0,America,25,6.589399990081788,1.1733269219589242,1.2028729907684321,0.8449759407806395,0.39682105573844895,0.19077248424530024,0.16977359642124176
China,1313973713,9596960,136.9,0.15,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,13.25,6.97,0.125,0.473,0.40299999999999997,74.2625,38.435573,4.0,Asia,86,5.218999952697754,1.003417158111572,1.033679482376098,0.7971211001281737,0.5095755416088104,0.03421336820018292,0.07144685492265224
Colombia,43593035,1138910,38.3,0.28,-0.31,20.97,6300.0,92.5,176.2,2.42,1.67,95.91,20.48,5.58,0.125,0.342,0.5329999999999999,73.28750000000002,36.246674,9.3,America,37,6.339999974822997,0.992910464988708,1.30261058733368,0.6716775847167968,0.4920994830150605,0.0904408945922852,0.09198774837040903
Comoros,690948,2170,318.4,15.67,0.0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,36.93,8.2,0.4,0.04,0.56,61.58125,25.610707,6.5,Africa,142,3.9616666666666656,0.26271666666666665,0.7176533333333334,0.38932,0.17509666666666668,0.21945666666666666,0.14503666666666667
Congo (Kinshasa),62660551,2345410,26.7,0.0,0.0,94.69,700.0,65.5,0.2,2.96,0.52,96.52,43.69,13.27,0.55,0.11,0.34,55.68749999999999,20.721067,36.0,Africa,128,4.3464000419616715,0.062342469760894775,1.059596691314698,0.2076934049720764,0.23980626956367504,0.1584911666631698,0.13363227129840854
Congo (Brazzaville),3702314,342000,10.8,0.05,-0.17,93.86,700.0,83.8,3.7,0.51,0.13,99.36,42.57,12.93,0.062,0.57,0.369,59.04375,19.666666666666668,36.0,Africa,124,4.377399977874757,0.7227428504943848,0.7165868726043703,0.346717486787796,0.4230131741600037,0.1062484255342484,0.0988536267209053
Costa Rica,4075261,51100,79.8,2.52,0.51,9.95,9100.0,96.0,340.7,4.41,5.88,89.71,18.32,4.36,0.08800000000000001,0.299,0.614,78.59374999999999,54.598094999999994,8.1,America,13,7.126199999237062,1.0356552565231318,1.315160730247498,0.8322478530845642,0.5912283299942016,0.1425826458072662,0.1549213178992272
Croatia,4494749,56542,79.5,10.32,1.58,6.84,10600.0,98.5,420.4,26.09,2.27,71.65,9.61,11.48,0.07,0.308,0.622,76.11875,46.734245,13.9,Europe,74,5.458600044250488,1.1523172466812142,0.959862601486206,0.7691157042579649,0.28593445852279664,0.1102645952358246,0.06857662200903893
Cyprus,784301,9250,84.8,7.01,0.43,7.18,19200.0,97.6,0.0,7.79,4.44,87.77,12.56,7.68,0.037000000000000005,0.198,0.765,79.675,60.765644,11.8,Europe,60,5.732799962615966,1.274927615394592,1.029102654533386,0.9136149402351379,0.3771803078727721,0.15539886021423338,0.14053559528040888
Czech Republic,10235455,78866,129.8,0.0,0.97,3.93,15700.0,99.9,314.3,39.8,3.05,57.15,9.02,10.59,0.034,0.39299999999999996,0.573,76.76875,52.068084000000006,2.8,Europe,24,6.654600041198732,1.268562470413208,1.3248490433425901,0.8274068006210328,0.4737532347335816,0.05289735177850724,0.06260458541989326
Denmark,5450661,43094,126.5,16.97,2.48,4.56,31100.0,100.0,614.6,54.02,0.19,45.79,11.13,10.36,0.018000000000000002,0.24600000000000002,0.735,79.25625000000002,90.39208,5.8,Europe,1,7.5459999671936036,1.396728602554322,1.447688318504334,0.8652491049156188,0.6259593444900512,0.3638760977458954,0.384374013633728
Djibouti,486530,23000,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04,0.0,99.96,39.53,19.31,0.179,0.225,0.596,60.75625,32.38107,60.0,Africa,126,4.369,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093
Dominican Republic,9183984,48730,188.5,2.64,-3.22,32.38,6000.0,84.7,97.4,22.65,10.33,67.02,23.22,5.73,0.11199999999999999,0.306,0.5820000000000001,72.34374999999999,29.989769000000006,5.5,America,87,5.199400003814699,0.999922767303466,1.2822793412170421,0.6425627490882874,0.5453799667472841,0.13720556994628902,0.1501290506386756
Ecuador,13547510,283560,47.8,0.79,-8.58,23.66,3300.0,92.5,125.6,5.85,4.93,89.22,22.29,4.23,0.07,0.312,0.618,74.72500000000002,31.850215999999996,5.1,America,48,5.9919999794006324,0.9277800796661382,1.1573877627410878,0.7533032444725035,0.4795276397113801,0.15027649300479878,0.1126569294977188
Egypt,78887007,1001450,78.8,0.24,-0.22,32.59,4000.0,57.7,131.8,2.87,0.48,96.65,22.94,5.23,0.149,0.35700000000000004,0.493,71.5,33.262187,12.2,Africa,125,4.375200026702879,0.9246903614997865,0.8613202784309388,0.5710934517440795,0.2392920309257508,0.0927602885570526,0.1056702730956078
El Salvador,6822378,21040,324.3,1.46,-3.74,25.1,4800.0,80.2,142.4,31.85,12.07,56.08,26.61,5.78,0.099,0.302,0.599,71.74375,36.224892,7.0,America,42,6.124199956512452,0.8296048991661072,1.0979890183105459,0.6594777105560301,0.4199285059337616,0.0920295970826149,0.08833419197845457
